#{"t_start": 1780253741.6994593, "env_id": "None"}
r,l,t
152.54544,591,90.042307
221.17822,587,90.051179
227.44171,658,90.063395
210.22229,618,90.120743
243.4293,591,90.376958
179.2764,657,90.406795
219.89618,576,90.794275
207.92459,644,90.818997
185.37875,610,90.867383
175.38281,594,90.879759
233.94275,608,90.898017
217.13153,567,90.957963
204.49731,601,90.961886
52.6969,296,91.032846
181.79951,580,91.212093
216.8707,686,91.225928
194.6121,578,91.295051
167.43439,570,91.355186
220.39374,630,91.399756
276.40497,642,91.42192
235.97623,666,91.500899
206.17694,608,91.763748
-275.90765,447,91.833923
203.8062,587,98.248309
206.70114,604,98.261508
253.43053,611,98.368896
230.57784,576,98.373123
208.54639,623,98.375356
158.66484,672,98.555101
-259.37823,531,98.589352
202.10196,638,98.703779
192.68103,594,98.747018
236.75305,602,98.796061
234.5175,597,98.801822
210.2119,596,98.858775
-4.014717,187,98.901174
178.35788,838,98.929578
94.60927,828,99.066644
205.20284,614,99.178665
264.01666,660,99.195125
224.52216,594,99.380722
217.12236,616,99.528156
237.1057,626,99.557038
170.53607,703,99.577918
148.90976,648,99.598392
-187.25131,423,99.725402
237.73232,645,99.796621
197.19669,602,99.831634
216.94951,628,99.934433
219.24567,608,99.947766
36.87697,242,100.034521
232.6575,656,105.257744
-37.876434,159,105.314042
182.18466,640,105.326286
202.81833,690,105.371607
234.98927,614,105.435227
194.41574,607,105.566514
168.07275,621,105.577244
215.39716,588,105.718508
205.68643,621,105.934973
210.85419,609,105.954357
172.16626,707,106.134287
240.21703,603,106.260414
215.82843,654,106.262542
207.72394,579,106.322235
264.67487,615,106.360268
133.55905,769,106.365989
232.36942,662,106.375587
197.66544,587,106.40277
210.59985,595,106.521638
259.31647,648,106.549076
221.45837,663,106.77563
-74.7915,290,106.787875
157.27583,816,106.808949
218.66925,680,106.812414
147.76978,684,106.945447
249.72949,625,107.042264
233.8733,557,111.444605
-103.04808,672,111.456942
220.62949,640,111.768622
220.55475,593,111.783932
228.45424,624,111.857968
181.4026,661,111.91442
172.90002,706,111.948895
199.67018,717,112.057348
247.79916,646,112.091567
173.6118,675,112.114729
217.99954,610,112.281242
17.17479,157,112.288103
226.97517,652,112.405098
258.50076,670,112.441313
190.31448,694,112.462063
238.55516,606,112.464772
-24.383705,117,112.519188
218.82071,589,112.534801
228.4052,590,112.655227
220.53758,695,112.845297
247.29242,676,113.091817
245.31401,651,113.131817
226.96861,703,113.155182
-158.19583,681,113.242223
261.16754,625,113.34446
255.85645,700,119.163143
234.55537,614,119.265357
210.15004,687,119.28645
211.6555,615,119.306731
232.2513,640,119.370631
226.19522,605,119.372925
217.51315,618,119.381795
229.84154,667,119.426646
244.57489,632,119.537049
26.314209,275,119.559156
63.25386,163,119.69127
59.68341,1000,119.711214
227.8198,627,119.729397
-68.691635,75,119.834451
216.89725,620,119.975063
230.55574,615,120.012713
194.18036,658,120.123499
227.54504,627,120.156173
7.1126556,247,120.203446
234.57474,614,120.34551
199.5173,630,120.480928
208.65222,630,120.504172
246.54037,611,120.56375
226.73195,671,120.600327
230.00572,675,120.679893
215.26544,616,120.734233
222.64731,682,120.74404
210.35275,642,120.815934
-19.56036,86,120.851645
217.82199,646,120.955778
227.49826,657,121.096256
201.36916,640,127.026858
251.72665,681,127.140153
207.25446,673,127.230291
172.66006,689,127.288864
245.75249,702,127.360545
238.76427,634,127.505397
214.35089,725,127.545884
212.63382,690,127.634251
204.62122,665,127.685642
237.19781,726,127.775726
229.73299,653,127.800998
-35.846138,95,127.8303
200.16275,674,127.918264
207.57187,728,127.956413
240.08493,756,128.11631
225.6088,727,128.167639
239.5368,589,128.267151
186.80484,713,128.285231
222.81067,691,128.351774
181.2672,666,128.506261
240.1552,634,128.581227
198.13257,689,128.615121
214.7084,653,128.777476
214.33363,685,128.879569
265.7674,653,134.687556
214.51706,621,134.70855
228.94841,640,134.776973
213.24498,671,134.860345
205.36247,625,134.900106
238.4105,650,134.910129
214.58698,680,135.158897
195.75981,697,135.245093
233.22437,675,135.299765
238.07677,653,135.343866
212.08392,717,135.403972
227.20956,676,135.559015
223.09381,661,135.649416
237.38095,701,135.694045
235.71115,688,135.862138
249.35262,706,136.067611
191.25568,707,136.090917
201.87173,767,136.107156
80.09672,242,136.151526
234.7601,654,136.170772
225.06113,721,136.175085
228.53462,677,136.177384
233.02489,714,136.292863
10.02829,196,136.454268
239.64926,691,136.495409
242.71584,677,142.618492
235.72615,714,142.625794
246.27005,709,142.725736
189.05914,697,142.757445
209.55994,684,142.878262
237.65262,681,142.954046
204.86517,785,143.358581
211.19638,658,143.41739
218.49548,770,143.576557
261.77255,792,143.581227
205.0961,741,143.592889
226.74048,758,143.623229
232.80724,710,143.649644
198.06345,817,143.736456
247.76357,727,143.923566
188.86316,811,144.041592
8.47271,225,144.1108
191.3756,733,144.153425
263.72375,814,144.208355
216.75049,842,144.254058
242.71582,793,144.289888
218.24112,759,144.355652
227.75146,745,144.436605
234.47276,737,149.417956
210.87222,712,149.429082
241.48982,706,149.575699
233.92506,730,149.603885
250.7914,771,149.671808
65.58669,209,149.772216
238.87657,788,149.844079
241.1558,844,149.844159
219.81613,847,150.091471
216.73248,707,150.115084
219.39972,664,150.163965
194.25537,794,150.16859
262.06647,874,150.24504
260.4555,780,150.321923
216.72272,855,150.424663
232.78522,978,150.534402
224.89816,851,150.539809
256.12732,820,150.851123
198.5445,767,150.960044
231.85014,797,150.981021
251.18839,853,155.779333
195.77219,837,155.858333
239.75679,874,155.997546
263.5363,801,156.117213
209.61171,797,156.186041
60.719044,1000,156.211234
265.18982,773,156.219396
245.24837,866,156.253519
205.20126,859,156.295632
239.42693,800,156.430732
212.6874,873,156.46435
-18.351364,151,156.508581
249.78073,891,156.70789
75.103065,1000,156.936023
255.25581,891,157.055476
241.40813,862,157.11535
233.05038,929,157.216426
257.9567,843,157.282098
214.49875,822,157.325938
248.81094,757,162.679015
220.61842,832,162.853323
223.418,961,162.861008
250.90628,723,162.900431
213.88904,921,162.934946
224.37918,897,162.979379
240.56367,878,163.078384
38.20881,238,163.24197
244.13605,940,163.440407
77.643814,192,163.507506
217.25366,976,163.578125
236.31721,919,163.700957
171.02509,761,163.941463
251.01334,870,163.986593
218.53242,945,163.997886
170.87527,868,164.048109
193.7756,844,164.224938
255.59523,897,164.381849
240.2153,902,170.807124
201.8158,929,170.836085
254.56285,961,170.872638
254.09235,928,170.902291
145.70973,1000,170.953583
241.23727,885,171.065163
216.87811,889,171.257779
198.67288,896,171.346824
262.51135,868,171.356025
238.23798,926,171.582465
242.57051,808,171.621943
81.95165,167,171.680864
271.9342,860,171.928095
104.96136,1000,171.964514
166.47942,1000,172.001918
127.490456,1000,172.068154
279.40466,898,172.156671
250.08382,960,172.763223
140.75456,1000,178.671025
160.65092,999,178.69734
141.49767,1000,178.725191
140.83676,1000,178.76801
176.85974,708,178.824278
157.10786,1000,178.869007
248.42685,935,178.91833
250.9551,998,179.114344
24.368141,233,179.311732
180.81561,1000,179.339218
263.32086,816,179.385579
130.95541,1000,179.435732
260.1126,987,179.63999
129.31342,1000,179.698345
163.58488,1000,179.802758
99.01826,1000,179.875146
250.89818,819,180.261701
218.24338,933,180.35622
131.14674,1000,186.302793
154.87068,1000,186.354591
271.19342,995,186.391074
155.28764,1000,186.447985
234.66034,969,186.488789
45.4261,228,186.502985
201.19086,935,186.62268
206.19342,934,186.805494
231.84604,921,186.808368
152.2388,1000,187.01871
143.71364,1000,187.068439
121.840034,1000,187.278568
107.6073,1000,187.332899
27.270594,1000,187.429552
184.04678,1000,187.510917
127.42584,1000,187.878522
238.98892,911,188.116609
163.88396,1000,188.201736
134.90567,1000,194.039367
152.05043,1000,194.141262
261.7354,977,194.151294
156.4504,1000,194.18468
136.52168,1000,194.328517
239.44244,931,194.388629
207.99358,832,194.442597
130.35977,1000,194.518697
116.1829,1000,194.703569
239.19333,961,194.876192
298.66272,293,194.978945
190.42456,1000,195.002716
133.28882,1000,195.097872
167.97418,1000,195.183494
179.00462,790,195.408964
185.89465,1000,195.567255
144.54048,837,195.73652
192.00497,942,195.786386
170.67833,1000,195.948116
244.50404,787,201.706264
166.75177,1000,201.747508
172.97618,1000,201.793628
139.64484,1000,201.925191
150.93953,1000,201.984735
152.34424,1000,202.321077
265.6592,484,202.381458
219.9612,942,202.512247
166.41023,1000,202.515436
184.40753,1000,202.663441
209.6405,1000,202.769533
306.38718,532,202.808194
158.84221,1000,202.851497
121.38126,1000,203.066998
170.99121,1000,203.241431
161.4209,1000,203.481795
138.46114,1000,203.642318
165.04688,1000,203.698148
85.05935,1000,209.710621
28.135345,268,209.713373
73.72463,179,209.751085
207.1883,960,209.829455
163.26584,1000,209.844237
179.49362,1000,210.311887
169.46217,1000,210.387566
-158.80664,908,210.464047
174.40982,1000,210.500022
187.54465,1000,210.503233
249.06776,876,210.539762
172.80229,1000,210.728575
153.73064,1000,210.817513
183.21115,1000,211.057028
197.47339,1000,211.64274
162.28218,1000,211.706215
252.0101,994,217.771364
204.3894,1000,217.784463
211.73544,1000,217.825817
179.10486,1000,217.903357
153.03241,1000,217.919924
202.81891,1000,218.300526
149.91702,1000,218.359334
164.47557,1000,218.44895
183.44365,1000,218.490683
143.39279,1000,218.493841
205.27026,1000,218.52843
193.65402,1000,218.717207
190.89311,1000,218.801096
135.581,1000,219.010985
273.0376,839,219.284718
170.83446,1000,219.546585
172.04858,1000,219.676392
137.14128,1000,219.689547
215.6943,1000,225.582324
134.18802,1000,225.66096
171.95795,1000,225.674615
28.72947,161,225.983611
170.16208,1000,226.061879
207.34627,1000,226.118119
193.42747,1000,226.193048
175.35197,1000,226.231844
195.93074,1000,226.23459
173.90536,1000,226.270825
242.18997,956,226.4598
138.86794,1000,226.46255
309.18918,265,226.479121
185.24039,1000,226.759567
175.64485,1000,227.055255
150.21191,1000,227.295244
145.17213,1000,227.422559
186.58015,1000,227.440822
185.26726,1000,227.489618
167.9763,1000,233.332295
277.52,583,233.356951
290.14917,695,233.619568
199.90854,1000,233.774185
132.87804,1000,233.830798
42.99341,245,233.835351
158.72339,1000,233.91026
200.66504,1000,233.946268
150.32973,1000,233.948632
178.2862,1000,233.985146
270.82452,482,234.027454
76.359695,178,234.163515
209.02606,1000,234.174499
205.8026,1000,234.473688
49.2557,204,234.561066
172.63539,1000,234.759231
289.66586,486,235.091747
66.92036,184,235.105093
179.40143,1000,235.128589
135.43607,1000,235.141539
212.9737,1000,235.184045
177.7371,1000,241.039263
203.58754,1000,241.25107
212.1625,1000,241.402515
276.34122,280,241.417315
205.5523,1000,241.4643
352.61157,303,241.497708
165.59991,1000,241.535838
199.42337,1000,241.582829
175.59401,1000,241.585589
202.30408,1000,241.621222
169.65614,1000,241.664517
46.06035,171,241.726313
289.62213,838,241.80166
53.153854,208,241.92381
-1.5693741,194,242.014551
274.5613,624,242.039554
269.8188,335,242.077796
125.85575,1000,242.167446
81.791306,182,242.375832
151.88417,785,242.492897
306.04907,496,242.502113
-9.946587,140,242.657537
323.9319,587,242.684107
325.7569,278,242.705527
234.29828,1000,242.71974
179.07054,1000,242.73236
285.61765,643,248.660584
285.3976,456,248.676365
290.08847,578,248.743499
290.4974,529,248.74579
281.6891,227,248.805719
159.67001,1000,248.853509
292.6172,727,248.888237
302.30225,240,248.893901
292.76733,258,248.911668
191.43999,1000,249.019768
266.38312,959,249.024387
3.1194992,205,249.130515
303.30536,229,249.178496
184.20146,1000,249.224827
87.25394,135,249.283262
309.5498,346,249.325957
271.15356,537,249.463164
312.14294,314,249.48089
276.37323,311,249.500803
309.67578,257,249.506449
317.65057,405,249.566594
39.733208,188,249.57207
268.48065,241,249.580473
284.72827,237,249.769827
-30.168386,78,249.913385
299.0653,970,250.051711
297.93524,280,250.089804
322.06628,319,250.089894
179.39447,1000,250.094924
293.8365,386,250.193637
294.45178,371,250.251469
206.01347,1000,250.276031
307.5298,768,250.28329
332.20557,465,250.361956
260.69684,685,250.438842
0.821373,210,250.478419
-224.57985,991,250.49968
317.7976,253,250.51402
288.1901,232,250.515771
301.76205,530,256.396645
308.56427,226,256.520811
321.29297,252,256.598099
159.98041,1000,256.606554
308.93396,835,256.680656
58.16086,189,256.6838
257.11884,381,256.766469
283.18945,230,256.792749
340.75238,231,256.810201
47.59578,155,256.899826
291.66766,263,256.909214
317.82016,301,256.937
300.9316,647,256.972024
270.28903,240,256.982306
332.59198,204,257.000395
265.53485,938,257.069805
326.71503,205,257.074793
323.13263,226,257.112097
320.539,254,257.267329
285.12756,275,257.280445
307.60663,233,257.34119
330.03723,206,257.360045
294.23865,241,257.364856
286.7182,243,257.399392
324.06757,242,257.438154
315.92368,249,257.543492
300.1585,258,257.593655
308.46863,324,257.608405
305.02435,240,257.727506
306.23596,353,257.743335
293.2131,258,257.772175
193.7045,975,257.786293
290.9735,249,257.834857
299.0185,261,257.865294
330.22604,248,257.873743
283.29022,581,257.917439
330.586,308,257.939418
11.411819,148,258.020654
147.18898,1000,258.03179
281.01376,317,258.057054
149.07214,979,258.084081
329.24503,281,258.154601
35.226402,1000,258.206821
306.47656,253,258.251459
46.376114,162,258.266376
327.72845,245,258.272391
343.4746,221,258.291983
310.8175,230,258.33774
326.18384,279,258.358362
280.5516,256,264.162095
320.48224,429,264.239034
294.73224,215,264.259702
280.25726,259,264.311013
282.42828,238,264.334883
9.585037,175,264.383163
302.78912,253,264.437892
71.062614,190,264.479999
310.27417,228,264.490697
297.30405,235,264.521372
286.33392,194,264.550222
313.84454,219,264.558005
329.8015,185,264.617053
322.12277,492,264.69424
326.75977,346,264.698855
276.61078,212,264.704028
88.31048,151,264.766666
295.29956,391,264.834572
296.59418,237,264.840782
65.60471,177,264.929905
87.54401,152,264.937696
288.2239,281,264.96979
286.95972,238,264.982075
97.47133,144,264.997121
318.72235,258,265.030907
228.74956,608,265.042297
286.4787,239,265.054165
88.91623,186,265.124881
283.05905,232,265.151581
53.373734,180,265.170425
43.416252,166,265.247637
291.72043,286,265.254584
76.36261,146,265.265761
289.86554,246,265.298046
107.297905,1000,265.307758
62.606415,224,265.398741
326.39752,225,265.455232
308.28098,227,265.47113
312.72974,266,265.473839
269.69342,226,265.482867
315.64594,246,265.632634
315.97748,195,265.655253
329.73193,216,265.683048
-59.90463,169,265.736747
298.3436,312,265.780766
238.3789,355,265.817843
319.68518,222,265.913743
298.74008,239,265.952589
282.84686,327,265.967537
95.06897,167,266.036865
310.9438,392,266.049508
323.23917,309,266.099471
225.01978,430,266.184872
18.574642,127,266.19799
132.51654,127,272.126074
271.8216,370,272.147208
321.71603,240,272.1848
44.651623,1000,272.223208
50.832558,176,272.227426
274.54688,253,272.23876
329.84424,316,272.285204
306.38263,420,272.396272
297.62964,223,272.420844
113.90173,1000,272.423031
303.7694,253,272.432049
287.69537,220,272.504249
265.9502,207,272.564189
299.54248,260,272.564276
309.0235,231,272.646084
259.8999,284,272.648062
195.54817,941,272.65704
350.92426,206,272.76341
299.17975,362,272.806308
323.9324,290,272.81126
56.284363,144,272.826735
297.01373,334,272.84125
291.28662,260,272.917053
255.46384,274,272.931547
348.2386,196,272.933805
280.26428,235,272.94359
-31.280296,123,273.047716
321.53436,216,273.058054
279.83456,343,273.06001
321.52167,236,273.10413
74.13615,147,273.123453
21.773773,189,273.129356
330.28674,276,273.166667
62.951324,139,273.195355
303.7744,224,273.235569
335.18317,201,273.297478
328.3905,299,273.384669
315.9843,280,273.444882
158.64597,1000,273.444963
83.169815,171,273.520638
342.8824,257,273.548717
66.55841,226,273.556911
275.18262,268,273.559781
340.60526,281,273.600605
339.0345,244,273.643623
312.25,228,273.701833
89.52556,100,273.747603
325.82578,247,273.810457
66.64845,127,273.832309
35.89405,184,273.845887
142.87463,1000,273.868238
46.614952,210,273.993916
112.47497,126,274.005173
292.00232,474,274.055501
318.35986,336,274.085892
294.09012,309,279.905144
181.72588,1000,279.981382
62.655,161,279.995569
293.81378,263,279.995658
299.50568,245,280.003343
317.0523,199,280.017899
349.5584,210,280.057846
278.0765,212,280.075944
265.46204,375,280.172147
273.07495,222,280.255742
351.0041,198,280.304721
321.4499,207,280.311827
19.312584,236,280.334891
335.6944,270,280.341552
332.45575,215,280.412085
313.47302,205,280.427037
110.31012,140,280.451397
292.84882,198,280.454534
307.2682,229,280.459081
326.4375,251,280.495846
313.8155,256,280.5068
-3.3789864,125,280.547654
296.99976,245,280.564256
106.67634,122,280.646526
318.2068,179,280.681188
110.1438,1000,280.691525
313.28595,202,280.693806
36.790688,128,280.701581
227.13092,690,280.744051
343.0778,202,280.801044
293.9999,292,280.808154
314.16968,205,280.837638
316.91858,297,280.887162
159.15686,1000,280.901224
298.36298,256,280.934708
294.76147,250,280.963648
303.5401,274,281.013167
288.35553,247,281.023484
331.7129,270,281.048734
345.91565,193,281.054897
85.832565,135,281.063603
335.74615,211,281.083563
338.0677,259,281.119907
318.4612,240,281.123288
297.30426,183,281.147119
325.91757,234,281.179409
67.111916,143,281.197803
337.7553,271,281.204004
51.80163,144,281.328107
278.67892,228,281.347178
296.09442,201,281.351674
291.8687,303,281.421823
327.24405,279,281.433242
296.2798,218,281.438884
310.3213,219,281.510373
335.19037,208,281.528619
276.95822,199,281.535877
336.33197,217,281.548556
306.5493,196,281.586128
292.22437,301,281.640548
310.8777,256,281.685484
289.6656,199,281.734179
99.31329,164,281.747279
20.017864,131,281.764121
278.4014,238,281.801763
45.37091,141,281.823375
57.148037,125,281.825832
306.7344,235,281.873325
302.16614,202,287.712575
34.57655,124,287.712666
334.82675,311,287.721281
279.55194,241,287.795537
291.01736,192,287.919585
244.5121,367,287.949441
92.0238,134,287.990664
315.29224,222,288.004786
294.0982,217,288.038997
278.82062,211,288.049705
335.5797,242,288.105255
324.2021,211,288.219987
292.08902,394,288.297145
280.8191,302,288.310751
299.67075,458,288.329288
358.85657,179,288.346153
330.94754,230,288.427114
290.90326,284,288.467132
228.55545,852,288.468899
303.2749,230,288.478575
326.6549,250,288.501925
314.3198,214,288.502018
352.91782,194,288.577997
350.93854,175,288.621853
302.93045,184,288.650292
60.82628,125,288.655304
-0.6743355,106,288.661597
314.44073,228,288.761922
204.52165,1000,288.780846
73.500946,153,288.78553
231.73758,599,288.810691
309.31433,303,288.88374
190.23859,1000,288.915673
284.53815,247,288.917936
301.8881,197,289.011446
305.0965,237,289.017102
320.1419,298,289.030848
21.879066,212,289.057014
267.7909,297,289.062817
316.33966,251,289.101717
289.98596,226,289.200251
299.4013,149,289.215818
315.5056,297,289.225762
337.5409,312,289.374428
336.43353,187,289.391079
292.93756,206,289.413789
198.36993,780,289.427271
110.28404,148,289.491513
282.34915,318,289.493934
300.46826,375,289.49893
306.39276,319,289.533371
318.90668,400,289.570416
323.3996,205,289.579759
343.44525,258,289.581729
182.87013,1000,295.306023
307.65973,304,295.308315
311.39395,327,295.322138
23.134743,144,295.325068
320.2348,249,295.374357
52.318336,123,295.495085
297.21066,217,295.51384
319.06528,198,295.58315
58.910324,141,295.588681
271.67587,180,295.600637
299.76013,204,295.634464
291.13516,324,295.677484
272.39218,206,295.699571
339.3873,204,295.713649
268.09723,353,295.769889
312.14893,241,295.777552
298.05847,357,295.864388
286.60043,370,295.884664
301.40048,203,295.915645
296.4612,408,295.957711
281.322,309,295.970085
312.56665,209,295.9943
325.80762,206,296.008131
287.57748,265,296.014109
291.16357,212,296.06229
308.89783,245,296.07884
325.3978,197,296.078928
298.0098,193,296.105191
302.33456,202,296.169471
330.75513,169,296.191525
309.65204,280,296.251083
332.9417,190,296.275234
66.11693,146,296.329926
346.06067,177,296.341888
302.48602,215,296.365166
336.81015,224,296.486245
308.42102,289,296.536489
299.8379,209,296.554029
271.86987,292,296.562243
293.53323,201,296.564269
291.1546,270,296.577999
313.1756,269,296.598256
303.30292,207,296.632529
296.46124,352,296.636333
128.74544,1000,296.644973
302.84802,193,296.697033
344.6355,454,296.745831
294.2493,215,296.751388
310.75177,265,296.865575
298.01526,187,296.91075
278.74146,184,296.950182
90.23214,151,297.042559
292.51343,207,297.052496
335.1908,232,297.104897
258.08725,288,297.114139
319.64005,270,297.169855
320.5437,308,297.172033
260.84906,313,297.182141
320.0841,308,297.187647
263.59262,251,297.196
331.0382,241,297.228903
290.39746,200,297.271955
243.11606,780,297.27608
308.66675,185,303.233588
274.5777,261,303.251572
64.41784,140,303.272826
324.7309,193,303.292424
298.64594,229,303.31322
315.56433,209,303.38842
328.0458,201,303.388499
284.62073,340,303.436384
340.15723,241,303.448344
270.81216,712,303.461993
284.4355,209,303.480842
317.00366,209,303.484305
286.36218,255,303.494373
296.70837,266,303.546687
304.04688,175,303.572004
203.20331,422,303.720796
334.17978,190,303.742232
325.35278,317,303.829237
302.2911,199,303.858954
291.72787,330,303.88575
293.8195,256,303.918296
277.17133,183,303.924144
281.73065,339,303.926324
286.4337,297,303.947646
327.0581,247,303.955785
294.0495,218,303.962749
321.95984,277,303.972274
325.0877,272,303.977568
320.64615,191,304.082956
261.35648,315,304.085093
292.63715,195,304.104526
267.42252,980,304.187957
343.51477,194,304.225293
271.09076,220,304.243901
310.41376,177,304.254707
253.59291,178,304.286571
342.74252,174,304.304521
277.91895,202,304.337544
324.60205,225,304.350176
112.10794,141,304.357328
332.5952,229,304.361519
284.2314,227,304.409177
296.847,600,304.442565
293.63403,294,304.446513
269.21326,260,304.45586
9.901695,153,304.543446
280.65924,245,304.554218
328.05518,263,304.619962
313.84326,167,304.628987
301.5778,266,304.753006
300.51886,249,304.775306
286.736,212,304.781362
318.27106,184,304.815032
332.9879,234,304.872449
295.98135,326,304.88553
272.52783,273,304.889796
25.399551,169,304.896539
320.016,198,304.945534
286.7072,256,304.956248
308.63672,261,304.973724
295.4491,189,310.874274
42.817978,125,310.892214
313.73972,192,310.907151
317.21967,271,310.914
131.13416,137,310.963407
288.55377,177,310.98136
299.96512,181,311.056035
249.53186,234,311.075474
294.66843,287,311.113633
303.0622,245,311.118012
325.73846,162,311.197472
309.06384,275,311.268489
323.12512,210,311.287854
265.11478,688,311.294313
242.31711,257,311.407993
274.85425,262,311.422002
329.0594,236,311.428542
278.53888,194,311.446434
310.73224,240,311.460712
315.37872,189,311.499888
234.01215,615,311.586927
11.337166,175,311.603536
299.52704,282,311.627847
293.32874,267,311.637992
291.11237,232,311.652626
325.16772,236,311.730912
335.63437,171,311.755991
177.51935,856,311.771614
341.89136,173,311.818081
313.35785,224,311.847089
330.78033,210,311.84974
306.20233,178,311.937969
98.377075,84,311.93806
247.36816,279,311.948481
328.92145,172,311.976866
71.50493,102,312.018572
327.63965,326,312.026225
130.44197,1000,312.033619
48.593452,213,312.045943
314.9098,285,312.127479
192.35382,828,312.134294
335.67258,199,312.145115
308.74182,273,312.148968
302.456,228,312.17535
298.91235,178,312.194418
309.69217,230,312.296522
334.2283,207,312.35483
316.12567,202,312.37081
320.56653,255,312.434757
284.54163,214,312.442796
342.23438,268,312.458379
310.9594,195,312.498071
290.47992,261,312.518975
286.11426,287,312.579576
305.55786,250,312.617115
283.0902,704,312.619202
305.92474,288,312.675963
277.8656,259,312.679837
312.58347,218,312.696043
311.84406,206,312.727535
304.98828,301,312.738797
312.3204,357,318.949232
301.5537,207,318.953307
260.35907,254,318.971569
291.03522,233,318.996889
268.75964,208,319.04379
74.9895,87,319.046646
335.2306,243,319.123661
314.5003,208,319.149962
279.59125,208,319.204975
18.01065,111,319.224856
316.92572,208,319.279469
48.796227,101,319.312608
345.92722,258,319.3265
4.88768,144,319.333682
66.36183,113,319.343435
313.2813,168,319.412099
323.4922,266,319.414823
338.25568,289,319.481694
103.700005,123,319.484208
310.685,275,319.490777
344.03696,170,319.596106
318.33453,223,319.633833
326.13116,153,319.652772
60.916733,195,319.723222
262.76,217,319.756729
307.08923,369,319.767725
258.00946,316,319.805976
288.92877,185,319.850546
250.38808,821,319.85333
315.89862,272,319.882412
332.98267,239,319.888496
265.25638,251,319.917815
317.9812,247,319.980045
55.824974,167,319.986015
299.27563,264,320.005786
324.91656,229,320.04866
306.69318,242,320.111992
339.12,185,320.123918
294.56207,225,320.175651
296.17053,215,320.22925
324.82275,196,320.240496
292.4356,246,320.255779
262.54736,488,320.269015
101.731094,87,320.303278
283.0504,218,320.324394
191.86212,850,320.34205
322.29974,252,320.361138
317.08508,238,320.401793
349.92578,229,320.462219
52.37639,89,320.465568
282.17297,290,320.489532
330.47986,250,320.53166
287.08508,265,320.534014
359.98468,205,320.551963
299.67505,196,320.591436
307.55905,284,320.639942
275.93268,195,320.642015
321.9665,187,320.651392
346.82367,185,320.689927
68.7558,84,320.699119
341.95026,231,320.72198
111.53784,139,320.740195
333.2373,171,320.748526
315.53903,219,320.772609
336.25708,149,320.781664
336.45422,217,320.784764
297.6577,212,320.793133
141.9347,82,320.800643
74.407196,144,320.862104
304.33597,192,320.901353
308.5537,259,320.964916
260.74295,230,320.987877
300.3551,169,325.66299
324.52774,225,325.696448
343.05768,205,325.726548
314.16602,196,325.755417
311.46826,194,325.760758
85.913376,102,325.763049
285.37915,233,325.767738
325.10156,287,325.796195
293.87665,238,325.944751
295.66403,206,326.032923
315.36456,272,326.039831
280.51447,229,326.039917
329.4985,340,326.03993
288.07343,320,326.049664
314.57837,237,326.248547
351.03336,150,326.253268
331.60114,191,326.269145
335.93707,201,326.330103
323.7422,188,326.362579
311.40436,196,326.374295
330.27716,152,326.389932
323.24274,189,326.395581
314.6903,176,326.482098
350.91687,198,326.519902
274.35492,211,326.537906
318.40747,327,326.594041
282.34076,176,326.609757
305.1977,252,326.614956
321.28836,186,326.694612
268.89673,190,326.72186
355.08588,208,326.736446
327.05774,205,326.741327
317.99603,245,326.78001
286.88196,283,326.79669
288.32648,200,326.879231
312.0365,207,326.907421
286.5557,188,326.932329
335.28442,177,326.935918
325.314,450,326.968679
56.733643,120,326.973755
332.11737,209,326.993842
12.023499,127,327.032146
38.397087,153,327.061718
316.9092,221,327.137766
217.682,621,327.139919
309.80975,257,327.153547
298.57996,170,327.170639
271.4032,488,327.177774
298.53656,194,327.265898
310.33203,318,327.292793
361.5016,228,327.303123
339.79208,203,327.321044
335.54553,245,327.370071
134.12341,129,327.374892
133.15358,1000,327.423159
321.15906,220,327.447462
346.49237,193,327.494743
52.896072,117,327.500849
301.25162,190,327.508051
313.3553,305,327.523665
325.19934,306,327.558991
322.70996,232,327.576571
282.75092,184,327.619329
298.04712,212,327.637503
318.27057,183,327.679006
299.82397,201,327.701795
72.74629,123,327.708302
294.65036,180,332.053498
283.92383,259,332.073063
322.56622,208,332.078681
292.63647,186,332.155476
313.06226,190,332.231499
265.5578,242,332.239274
305.96085,233,332.296704
309.4945,287,332.327994
307.94543,216,332.354637
230.09111,514,332.377368
325.63947,243,332.391522
312.22043,168,332.394139
300.1452,203,332.41585
349.14447,175,332.432288
307.36566,236,332.448622
328.1661,198,332.538071
320.24158,175,332.572417
181.83795,1000,332.581206
297.77216,310,332.608009
336.0254,170,332.613494
329.15002,293,332.631829
291.35303,210,332.708124
304.78668,180,332.712638
286.32214,258,332.71272
312.83807,242,332.800484
314.73926,232,332.813956
270.94177,870,332.829167
300.10208,263,332.846565
300.16138,174,332.873356
283.56207,270,332.904043
347.67325,222,333.005805
311.9427,185,333.02187
332.65723,288,333.028757
280.48615,190,333.028844
272.26126,255,333.042101
284.58002,237,333.110263
280.99362,190,333.138936
317.979,185,333.163219
282.0987,220,333.17522
288.89517,206,333.178792
320.78265,256,333.305888
320.0058,179,333.320739
277.6252,252,333.331196
276.32645,531,333.33128
315.77017,185,333.338862
292.36536,204,333.375025
313.16113,221,333.384127
330.24615,214,333.407803
352.5609,143,333.409876
341.24817,183,333.464038
269.198,237,333.607324
297.04004,287,333.623567
319.77118,254,333.632163
280.2079,181,333.643981
303.807,166,333.644063
310.2934,200,333.706073
